developer,state,start_ts,end_ts,jira_key,pr_number
athanatos,DEV,2017-06-14T22:26:20Z,2017-06-15T17:50:01Z,BOOKKEEPER-1098,193
athanatos,REV,2017-06-15T17:50:01Z,2017-06-28T21:28:51Z,BOOKKEEPER-1098,193
athanatos,TEST,2017-06-28T21:28:51Z,2017-06-28T21:30:12Z,BOOKKEEPER-1098,193
dlg99,DEV,2017-08-09T18:25:48Z,2017-08-09T19:08:32Z,BOOKKEEPER-1105,425
dlg99,REV,2017-08-09T19:08:32Z,2017-08-16T01:41:56Z,BOOKKEEPER-1105,425
dlg99,TEST,2017-08-16T01:41:56Z,2017-08-16T01:42:23Z,BOOKKEEPER-1105,425
hellostreaming,DEV,2013-06-17T18:49:52Z,2017-10-25T13:54:03Z,BOOKKEEPER-628,667
hellostreaming,DEV,2013-06-17T18:49:52Z,2017-10-25T13:54:03Z,BOOKKEEPER-628,663
hellostreaming,REV,2017-10-25T13:54:03Z,2017-11-01T02:43:26Z,BOOKKEEPER-628,667
hellostreaming,REV,2017-10-25T13:54:03Z,2017-11-01T02:43:26Z,BOOKKEEPER-628,663
hellostreaming,TEST,2017-11-01T02:43:26Z,2017-11-01T02:43:26Z,BOOKKEEPER-628,667
hellostreaming,TEST,2017-11-01T02:43:26Z,2017-11-01T02:43:26Z,BOOKKEEPER-628,663
revans2,DEV,2017-05-10T21:44:37Z,2017-10-12T20:54:09Z,BOOKKEEPER-1062,556
revans2,REV,2017-10-12T20:54:09Z,2017-10-17T07:33:04Z,BOOKKEEPER-1062,556
revans2,TEST,2017-10-17T07:33:04Z,2017-10-17T07:33:04Z,BOOKKEEPER-1062,556
sijie,DEV,2011-07-01T22:07:08Z,2017-09-16T00:06:53Z,BOOKKEEPER-31,511
sijie,DEV,2014-05-07T08:05:58Z,2017-07-20T01:08:24Z,BOOKKEEPER-754,266
sijie,DEV,2014-07-23T04:16:10Z,2017-07-01T06:35:18Z,BOOKKEEPER-772,224
sijie,DEV,2014-12-05T06:15:20Z,2016-11-22T22:09:43Z,BOOKKEEPER-816,80
sijie,DEV,2014-12-05T06:20:04Z,2017-11-10T21:01:25Z,BOOKKEEPER-818,714
sijie,DEV,2016-06-21T10:55:44Z,2017-07-28T04:27:21Z,BOOKKEEPER-935,311
sijie,REV,2016-11-22T22:09:43Z,2020-07-27T06:56:15Z,BOOKKEEPER-816,80
sijie,DEV,2017-04-07T15:18:49Z,2017-07-17T22:36:45Z,BOOKKEEPER-1027,248
sijie,DEV,2017-04-25T00:08:16Z,2017-07-25T00:41:45Z,BOOKKEEPER-1044,286
sijie,DEV,2017-06-02T20:18:56Z,2017-06-30T01:07:53Z,BOOKKEEPER-1095,220
sijie,REV,2017-06-30T01:07:53Z,2017-07-17T21:27:21Z,BOOKKEEPER-1095,220
sijie,REV,2017-07-01T06:35:18Z,2017-07-04T04:27:33Z,BOOKKEEPER-772,224
sijie,TEST,2017-07-04T04:27:33Z,2017-07-04T05:10:15Z,BOOKKEEPER-772,224
sijie,TEST,2017-07-17T21:27:21Z,2017-06-30T01:01:21Z,BOOKKEEPER-1095,220
sijie,REV,2017-07-17T22:36:45Z,2017-07-20T13:24:52Z,BOOKKEEPER-1027,248
sijie,REV,2017-07-20T01:08:24Z,2017-10-27T23:13:19Z,BOOKKEEPER-754,266
sijie,TEST,2017-07-20T13:24:52Z,2017-07-20T15:24:14Z,BOOKKEEPER-1027,248
sijie,REV,2017-07-25T00:41:45Z,2017-07-25T09:04:42Z,BOOKKEEPER-1044,286
sijie,TEST,2017-07-25T09:04:42Z,2017-07-25T09:04:49Z,BOOKKEEPER-1044,286
sijie,REV,2017-07-28T04:27:21Z,2017-07-28T18:12:47Z,BOOKKEEPER-935,311
sijie,TEST,2017-07-28T18:12:47Z,2017-07-28T18:13:05Z,BOOKKEEPER-935,311
sijie,REV,2017-09-16T00:06:53Z,2017-09-16T02:38:36Z,BOOKKEEPER-31,511
sijie,TEST,2017-09-16T02:38:36Z,2017-10-06T08:42:53Z,BOOKKEEPER-31,511
sijie,TEST,2017-10-27T23:13:19Z,2017-07-28T00:02:33Z,BOOKKEEPER-754,266
sijie,REV,2017-11-10T21:01:25Z,2017-11-12T07:14:06Z,BOOKKEEPER-818,714
sijie,TEST,2017-11-12T07:14:06Z,2017-11-12T07:14:06Z,BOOKKEEPER-818,714
sijie,TEST,2020-07-27T06:56:15Z,2020-07-27T06:56:15Z,BOOKKEEPER-816,80
yzang,DEV,2017-04-20T05:45:10Z,2017-11-06T20:30:24Z,BOOKKEEPER-1040,704
yzang,DEV,2017-06-25T00:59:05Z,2017-06-25T04:39:31Z,BOOKKEEPER-1100,278
yzang,REV,2017-06-25T04:39:31Z,2017-08-16T01:37:21Z,BOOKKEEPER-1100,278
yzang,TEST,2017-08-16T01:37:21Z,2017-08-16T01:37:33Z,BOOKKEEPER-1100,278
yzang,DEV,2017-09-16T17:01:29Z,2017-09-16T23:45:55Z,BOOKKEEPER-1106,513
yzang,REV,2017-09-16T23:45:55Z,2017-10-03T10:33:32Z,BOOKKEEPER-1106,513
yzang,TEST,2017-10-03T10:33:32Z,2017-10-03T10:33:32Z,BOOKKEEPER-1106,513
yzang,REV,2017-11-06T20:30:24Z,2017-11-08T11:27:31Z,BOOKKEEPER-1040,704
yzang,TEST,2017-11-08T11:27:31Z,2017-11-08T11:27:31Z,BOOKKEEPER-1040,704
