developer,jira_key,pr_number
ArvinDevel,BOOKKEEPER-1234,470
ArvinDevel,BOOKKEEPER-1234,486
ArvinDevel,BOOKKEEPER-1234,814
ArvinDevel,BOOKKEEPER-1234,832
ArvinDevel,BOOKKEEPER-1234,851
ArvinDevel,BOOKKEEPER-1234,873
ArvinDevel,BOOKKEEPER-1234,925
acoburn,BOOKKEEPER-1234,825
acoburn,BOOKKEEPER-1234,830
aojea,BOOKKEEPER-1234,700
athanatos,BOOKKEEPER-1098,193
dlg99,BOOKKEEPER-1105,425
hellostreaming,BOOKKEEPER-1234,368
hellostreaming,BOOKKEEPER-1234,369
hellostreaming,BOOKKEEPER-1234,424
hellostreaming,BOOKKEEPER-1234,442
hellostreaming,BOOKKEEPER-1234,446
hellostreaming,BOOKKEEPER-1234,455
hellostreaming,BOOKKEEPER-1234,460
hellostreaming,BOOKKEEPER-1234,461
hellostreaming,BOOKKEEPER-1234,484
hellostreaming,BOOKKEEPER-1234,500
hellostreaming,BOOKKEEPER-1234,518
hellostreaming,BOOKKEEPER-1234,521
hellostreaming,BOOKKEEPER-1234,528
hellostreaming,BOOKKEEPER-1234,663
hellostreaming,BOOKKEEPER-1234,667
hellostreaming,BOOKKEEPER-1234,727
hellostreaming,BOOKKEEPER-1234,729
hellostreaming,BOOKKEEPER-1234,738
hellostreaming,BOOKKEEPER-1234,759
hellostreaming,BOOKKEEPER-1234,833
hellostreaming,BOOKKEEPER-1234,936
hellostreaming,BOOKKEEPER-628,663
hellostreaming,BOOKKEEPER-628,667
ivankelly,BOOKKEEPER-1234,710
jiazhai,BOOKKEEPER-1234,242
jiazhai,BOOKKEEPER-1234,725
jiazhai,BOOKKEEPER-1234,811
jiazhai,BOOKKEEPER-1234,822
jiazhai,BOOKKEEPER-1234,918
reddycharan,BOOKKEEPER-1234,882
reddycharan,BOOKKEEPER-1234,896
reddycharan,BOOKKEEPER-1234,905
reddycharan,BOOKKEEPER-1234,946
reddycharan,BOOKKEEPER-1234,948
reddycharan,BOOKKEEPER-1234,987
reddycharan,BOOKKEEPER-1234,989
revans2,BOOKKEEPER-1062,556
sijie,BOOKKEEPER-1027,248
sijie,BOOKKEEPER-1044,286
sijie,BOOKKEEPER-1095,220
sijie,BOOKKEEPER-1234,710
sijie,BOOKKEEPER-31,511
sijie,BOOKKEEPER-754,266
sijie,BOOKKEEPER-772,224
sijie,BOOKKEEPER-816,80
sijie,BOOKKEEPER-818,714
sijie,BOOKKEEPER-935,311
yzang,BOOKKEEPER-1040,704
yzang,BOOKKEEPER-1100,278
yzang,BOOKKEEPER-1106,513
yzang,BOOKKEEPER-1234,278
yzang,BOOKKEEPER-1234,513
yzang,BOOKKEEPER-1234,704
