developer,jira_key,state,reason
sijie,BOOKKEEPER-754,DEV,negative_gap
sijie,BOOKKEEPER-772,DEV,negative_gap
sijie,BOOKKEEPER-816,DEV,negative_gap
sijie,BOOKKEEPER-818,DEV,negative_gap
sijie,BOOKKEEPER-935,DEV,negative_gap
sijie,BOOKKEEPER-816,REV,negative_gap
sijie,BOOKKEEPER-1027,DEV,negative_gap
sijie,BOOKKEEPER-1044,DEV,negative_gap
sijie,BOOKKEEPER-1095,DEV,negative_gap
sijie,BOOKKEEPER-772,REV,negative_gap
sijie,BOOKKEEPER-1095,TEST,non_positive_duration
sijie,BOOKKEEPER-754,REV,negative_gap
sijie,BOOKKEEPER-1027,TEST,negative_gap
sijie,BOOKKEEPER-754,TEST,non_positive_duration
sijie,BOOKKEEPER-818,TEST,non_positive_duration
sijie,BOOKKEEPER-816,TEST,non_positive_duration
yzang,BOOKKEEPER-1100,DEV,negative_gap
yzang,BOOKKEEPER-1106,TEST,non_positive_duration
yzang,BOOKKEEPER-1040,TEST,non_positive_duration
hellostreaming,BOOKKEEPER-628,DEV,negative_gap
hellostreaming,BOOKKEEPER-628,REV,negative_gap
hellostreaming,BOOKKEEPER-628,TEST,non_positive_duration
hellostreaming,BOOKKEEPER-628,TEST,non_positive_duration
revans2,BOOKKEEPER-1062,TEST,non_positive_duration
