state,length,prob
DEV,0.030,0.058824
DEV,0.153,0.058824
DEV,0.281,0.058824
DEV,0.808,0.058824
DEV,27.201,0.058824
DEV,91.023,0.058824
DEV,101.304,0.058824
DEV,154.965,0.058824
DEV,200.615,0.058824
DEV,401.730,0.058824
DEV,718.663,0.058824
DEV,1071.612,0.058824
DEV,1074.097,0.058824
DEV,1169.710,0.058824
DEV,1590.795,0.117647
DEV,2268.083,0.058824
OFF,2.807,0.100000
OFF,4.387,0.100000
OFF,13.679,0.100000
OFF,17.900,0.100000
OFF,21.604,0.100000
OFF,31.642,0.100000
OFF,34.414,0.100000
OFF,49.246,0.100000
OFF,105.874,0.100000
OFF,987.988,0.100000
REV,0.105,0.058824
REV,0.349,0.058824
REV,0.573,0.058824
REV,1.425,0.058824
REV,1.623,0.058824
REV,2.617,0.058824
REV,2.911,0.058824
REV,4.444,0.058824
REV,6.273,0.058824
REV,6.534,0.117647
REV,13.152,0.058824
REV,16.450,0.058824
REV,17.847,0.058824
REV,51.873,0.058824
REV,99.920,0.058824
REV,1342.366,0.058824
TEST,0.000,0.500000
TEST,0.001,0.125000
TEST,0.030,0.125000
TEST,0.083,0.125000
TEST,20.253,0.125000
