batch,throughput_dev,utilization_dev,avg_queue_dev,throughput_review,utilization_review,avg_queue_review,throughput_testing,utilization_testing,avg_queue_testing,feedback_rate_review,feedback_rate_testing,closed_tickets,mean_time_in_system
1,0.13150684931506848,0.9791026167213337,42.65562311120866,0.0684931506849315,0.0060711652868614225,3.5497329922875327,0.0,0.0,14.99144373025165,0.28,0.0,0.0,0.0
2,0.043835616438356165,1.0301980689854495,145.33112190230366,0.0,0.0,27.771830346585645,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0
3,0.049315068493150684,0.9978170179452427,247.0581414279223,0.0,0.0,43.51826697940436,0.0,0.0,18.000000000000004,0.0,0.0,0.0,0.0
4,0.10684931506849316,1.0130323346481038,339.8358791857206,0.0,0.0,75.33571199475588,0.043835616438356165,0.8810094528297283,15.616000800401167,0.0,0.0625,16.0,1376.1792632716435
5,0.0273972602739726,1.2150876878711545,442.9507983854899,0.29041095890410956,0.05754033719348681,61.60725047563604,0.0,0.0,35.97625280515389,0.2169811320754717,0.0,0.0,0.0
6,0.021917808219178082,1.0483036074435887,596.2591821912159,0.021917808219178082,0.0014760721824536938,0.46445903916472797,0.0,0.0,86.14067893780252,0.125,0.0,0.0,0.0
7,0.03561643835616438,1.0000685176562645,725.9148359821102,0.03561643835616438,0.0007055441837071704,0.00030286198035068927,0.0,0.0,98.19670478413127,0.15384615384615385,0.0,0.0,0.0
8,0.0027397260273972603,1.0210654188221522,832.6733637597442,0.0027397260273972603,5.603954610973226e-05,0.0,0.0,0.0,103.45173565000604,0.0,0.0,0.0,0.0
9,0.03561643835616438,1.020214929937089,938.0476507002668,0.03561643835616438,0.0007148798359450238,0.00016337775119385173,0.0,0.0,109.46352900069023,0.23076923076923078,0.0,0.0,0.0
10,0.0958904109589041,1.0211408179209167,1027.7462274730087,0.0684931506849315,0.0020544073708872778,3.1632456279072954,0.005479452054794521,2.1826323656182063,126.35655578473089,0.04,0.0,2.0,3560.973324393097
